,,,ACCOUNTS,,,
,, ,,,,
SL. NO.,QUESTION,OPTION (A),OPTION (B),OPTION ( C),OPTION (D),ANSWER
1,"Economic can be defined as a study of 
an ____ system in all its aspects.","  Social
",Economic ,Political,Solar,b
,,,,,,
2,Indicate the suitable match., Economics is the science of wealth ? Adam Smith,Economics is the science of material well being ? Samuelson,Economics is the science of choice making ? Marshall,Economics is the science of growth and development ? Robbins,a
,,,,,,
3, The book ?Principles of Economics? published by ?, Prof. Adam Smith, Prof. Colin Smith, Alfred Marshall, Samuelson,c
,,,,,,
4," Which of the following can be regarded as the laws of economics?
"," There is direct proportionate change in the price level 
with a change in the supply of money.","  Marginal propensity to consume shows a fall with an
 increase in income.",  Both a) and b) above, Only b) above,c
,,,,,,
5, Economics as a positive science should be _____ between ends., Conservative, Neutral, Diplomatic, None of the above,b
,,,,,,
6,"The norms of behaviour which satisfy the requirements of social rationality of economic activity are established by ?
", Positive economics, Normative economics, Business economics, Mathematical economics,b
,,,,,,
7, Micro economics is also known as ?, Product Theory,Price Theory, Process Theory, Projection Theory,b
,,,,,,
8, Mixed economy means ?,  co-existence of small and large industries, promoting both agriculture and industries in the economy, co-existence of both private and public sectors, co-existence of both rich and poor,c
,,,,,,
9,"The central problem in economics is 
that of ? ","Guaranteeing that production occurs in the
 most efficient manner.", Guaranteeing a minimum level of income for every citizen.," Comparing the success of command versus 
market economies."," Allocating scarce resources in such a manner that society?s 
unlimited needs or wants are satisfied as well as possible.",d
, , ,,,,
10, If the Production Possibility Curve is linear; which of the following is TRUE?, Opportunity costs are constant.,"  As the production of good increases, the opportunity 
cost of that good falls."," The economy is not at full employment when
 operating on the PPC."," As the production of good increases,
 the opportunity cost of that good rises.",a
, ,,,,,
11,"In the marginal (additional) opportunity 
cost is a constant then the PPC would be ?", Backward bending curve, Concave curve, Convex to the origin, A straight line,d
,,,,,,
12," General form of the demand function, Dy = F(Px,Y,T) . Dx denotes ?",  Quantity of demanded of good ?,  The price of good ?,  Income level of the consumer, Measure of his tastes and preference,a
,,,,,,
13, ??The additional benefit which a person derives from a given increase in his stock of thing diminishes with every in crease in the stock that he already has??. Definition is given by ?, Marshall, Robbin,  A.C. Pigov, Adass Smith,a
,,,,,,
